,CLUES,NOMBRE DE LA ENTIDAD,CLAVE DE LA INSTITUCION,ESTATUS DE OPERACION,LONGITUD,LATITUD
453,BCSMP000752,BAJA CALIFORNIA,SMP,EN OPERACION,-117.067966,32.524775
454,BCSMP000764,BAJA CALIFORNIA,SMP,EN OPERACION,-116.938718,32.482522
455,BCSMP000776,BAJA CALIFORNIA,SMP,EN OPERACION,-117.0577618,32.51437923
456,BCSMP000781,BAJA CALIFORNIA,SMP,EN OPERACION,-116.957325,32.49434
457,BCSMP000793,BAJA CALIFORNIA,SMP,EN OPERACION,-116.94549,32.51301339
458,BCSMP000805,BAJA CALIFORNIA,SMP,EN OPERACION,-116.9171085,32.4678006
459,BCSMP000810,BAJA CALIFORNIA,SMP,EN OPERACION,-117.046592,32.5345
460,BCSMP000822,BAJA CALIFORNIA,SMP,EN OPERACION,-116.927952,32.489884
461,BCSMP000834,BAJA CALIFORNIA,SMP,EN OPERACION,-117.008934,32.520942
462,BCSMP000846,BAJA CALIFORNIA,SMP,EN OPERACION,-117.039863,32.531933
463,BCSMP000851,BAJA CALIFORNIA,SMP,EN OPERACION,-117.046115,32.526856
464,BCSMP000863,BAJA CALIFORNIA,SMP,EN OPERACION,-117.067819,32.480239
465,BCSMP000875,BAJA CALIFORNIA,SMP,EN OPERACION,-116.950425,32.479421
466,BCSMP000880,BAJA CALIFORNIA,SMP,EN OPERACION,-117.0693744,32.48364423
467,BCSMP000892,BAJA CALIFORNIA,SMP,EN OPERACION,-117.063444,32.483888
468,BCSMP000904,BAJA CALIFORNIA,SMP,EN OPERACION,-116.966669,32.502724
469,BCSMP000916,BAJA CALIFORNIA,SMP,EN OPERACION,-116.877034,32.473597
470,BCSMP000921,BAJA CALIFORNIA,SMP,EN OPERACION,-117.011879,32.52109
471,BCSMP000933,BAJA CALIFORNIA,SMP,EN OPERACION,-116.879799,32.513721
472,BCSMP000945,BAJA CALIFORNIA,SMP,EN OPERACION,-116.875772,32.477392
473,BCSMP000950,BAJA CALIFORNIA,SMP,EN OPERACION,-116.940253,32.48328
474,BCSMP000962,BAJA CALIFORNIA,SMP,EN OPERACION,-116.93138,32.545406
475,BCSMP000974,BAJA CALIFORNIA,SMP,EN OPERACION,-116.957606,32.490389
476,BCSMP000986,BAJA CALIFORNIA,SMP,EN OPERACION,-116.933504,32.544179
477,BCSMP000991,BAJA CALIFORNIA,SMP,EN OPERACION,-117.024306,32.530751
478,BCSMP001003,BAJA CALIFORNIA,SMP,EN OPERACION,-116.937287,32.47929
479,BCSMP001015,BAJA CALIFORNIA,SMP,EN OPERACION,-117.117743,32.533205
480,BCSMP001020,BAJA CALIFORNIA,SMP,EN OPERACION,-117.037687,32.527282
481,BCSMP001032,BAJA CALIFORNIA,SMP,EN OPERACION,-117.040261,32.48283
482,BCSMP001044,BAJA CALIFORNIA,SMP,EN OPERACION,-116.901785,32.543972
483,BCSMP001056,BAJA CALIFORNIA,SMP,EN OPERACION,-116.869832,32.468007
484,BCSMP001061,BAJA CALIFORNIA,SMP,EN OPERACION,-116.851095,32.513675
485,BCSMP001073,BAJA CALIFORNIA,SMP,EN OPERACION,-116.931632,32.522035
486,BCSMP001085,BAJA CALIFORNIA,SMP,EN OPERACION,-117.045997,32.539875
487,BCSMP001090,BAJA CALIFORNIA,SMP,EN OPERACION,-116.969557,32.467674
488,BCSMP001102,BAJA CALIFORNIA,SMP,EN OPERACION,-117.011434,32.529999
489,BCSMP001114,BAJA CALIFORNIA,SMP,EN OPERACION,-116.965402,32.487927
490,BCSMP001126,BAJA CALIFORNIA,SMP,EN OPERACION,-116.899836,32.543849
491,BCSMP001131,BAJA CALIFORNIA,SMP,EN OPERACION,-117.053271,32.336793
492,BCSMP001143,BAJA CALIFORNIA,SMP,EN OPERACION,-117.005603,32.525692
493,BCSMP001155,BAJA CALIFORNIA,SMP,EN OPERACION,-116.873893,32.476911
494,BCSMP001160,BAJA CALIFORNIA,SMP,EN OPERACION,-117.0551,32.3384705
495,BCSMP001172,BAJA CALIFORNIA,SMP,EN OPERACION,-115.485002,32.662101
496,BCSMP001184,BAJA CALIFORNIA,SMP,EN OPERACION,-115.47327,32.66229
497,BCSMP001196,BAJA CALIFORNIA,SMP,EN OPERACION,-115.504932,32.656195
498,BCSMP001201,BAJA CALIFORNIA,SMP,EN OPERACION,-115.434559,32.632636
499,BCSMP001213,BAJA CALIFORNIA,SMP,EN OPERACION,-115.495212,32.657073
500,BCSMP001225,BAJA CALIFORNIA,SMP,EN OPERACION,-115.429051,32.620682
501,BCSMP001230,BAJA CALIFORNIA,SMP,EN OPERACION,-115.49682,32.63702
502,BCSMP001242,BAJA CALIFORNIA,SMP,EN OPERACION,-115.515742,32.657653
503,BCSMP001254,BAJA CALIFORNIA,SMP,EN OPERACION,-115.431182,32.660127
504,BCSMP001266,BAJA CALIFORNIA,SMP,EN OPERACION,-115.479401,32.663932
